matches_won,country_id,winner_id
36,CHN,210536
33,CHN,215272
30,CHN,206107
30,CHN,215054
29,CHN,144696
26,CHN,200059
25,CHN,215249
25,CHN,203489
23,CHN,215937
23,CHN,210428
23,CHN,202686
22,CHN,111806
22,CHN,213750
22,CHN,213830
22,CHN,202687
21,CHN,215709
20,CHN,220497
19,CHN,215820
19,CHN,106321
19,CHN,122606
18,CHN,214385
18,CHN,212019
17,CHN,215045
17,CHN,214674
15,CHN,213636
15,CHN,214288
15,CHN,215043
13,CHN,215055
12,CHN,212035
12,CHN,215047
12,CHN,220031
11,CHN,215134
11,CHN,215248
10,CHN,216015
9,CHN,105001
9,CHN,144751
9,CHN,200666
9,CHN,201703
9,CHN,216079
8,CHN,215947
7,CHN,132495
7,CHN,105934
6,CHN,133071
6,CHN,220308
6,CHN,133684
6,CHN,122609
5,CHN,220472
4,CHN,220415
4,CHN,105999
4,CHN,210604
4,CHN,106036
4,CHN,214276
4,CHN,215010
4,CHN,215008
4,CHN,215185
4,CHN,110763
4,CHN,214647
3,CHN,133068
3,CHN,212021
3,CHN,127165
3,CHN,219868
2,CHN,204342
2,CHN,216163
2,CHN,106319
2,CHN,215916
2,CHN,215389
2,CHN,204408
2,CHN,216063
2,CHN,106427
2,CHN,214969
2,CHN,138233
2,CHN,216390
2,CHN,106274
2,CHN,216017
2,CHN,221885
2,CHN,203917
2,CHN,222296
2,CHN,202168
2,CHN,144666
2,CHN,126165
2,CHN,128070
2,CHN,221110
1,CHN,132496
1,CHN,126324
1,CHN,215137
1,CHN,214840
1,CHN,211184
1,CHN,122529
1,CHN,133680
1,CHN,215046
1,CHN,215044
1,CHN,216194
1,CHN,221299
1,CHN,221899
1,CHN,213799
1,CHN,202634
1,CHN,144831
1,CHN,127043
1,CHN,221301
1,CHN,221303
1,CHN,215307
1,CHN,220425
1,CHN,219869
1,CHN,200055
1,CHN,222371
1,CHN,221305
1,CHN,220488
1,CHN,222348
166,COL,123755
124,COL,211864
87,COL,105292
84,COL,105053
82,COL,215785
